x,approx_1_neurons,approx_2_neurons,approx_3_neurons,approx_4_neurons,approx_5_neurons,original
0.8333333333333333,1.9340537,1.7776923,1.4382925,1.4426179,1.4551897,1.446223283653985
0.8555555555555556,1.9342911,1.7564902,1.4401917,1.4413419,1.4559069,1.445647245590949
0.8777777777777778,1.934516,1.7356849,1.4545884,1.45299,1.4675694,1.4574195057239825
0.8999999999999999,1.9347291,1.7152839,1.4818187,1.4780507,1.4905725,1.4820729934918524
0.922222222222222,1.9349318,1.6953063,1.5220685,1.5167947,1.525353,1.5199970123122986
0.9444444444444446,1.9351244,1.6757483,1.575417,1.5693078,1.5724277,1.571432780720988
0.9666666666666668,1.9353076,1.6566024,1.6418157,1.6355233,1.6324139,1.6364708075331025
0.9888888888888889,1.9354824,1.6378684,1.7211232,1.7152162,1.7060642,1.7150501335725592
1.011111111111111,1.9356492,1.6195579,1.8131166,1.8080754,1.7942929,1.8069594494973762
1.0333333333333332,1.9358084,1.6016479,1.9174829,1.9136758,1.8982062,1.91184007611582
1.0555555555555554,1.9359608,1.5841422,2.0338578,2.031527,2.019135,2.0291907706219736
1.077777777777778,1.9361067,1.5670295,2.1618266,2.1610856,2.158657,2.1583742996644677
1.1,1.9362464,1.5503097,2.3009295,2.3017793,2.3186374,2.2986256983760414
